technology,Material,value,source,authors,publish_year,year_of_data
a-Si,Silicon,150.0,liang_2022,"Carrara S, Dias, P., Plazzotta, B., & Pavel., C.",2020,2018
a-Si,Germanium,48.0,liang_2022,"Carrara S, Dias, P., Plazzotta, B., & Pavel., C.",2020,2018
a-Si,Germanium,73.0,liang_2022,"Elshkaki, A., & Shen, L.",2019,2019
a-Si,Cadmium,6.61,liang_2022,"Fizaine, F., & Court, V.",2015,2015
a-Si,Chromium,634.0,liang_2022,"Fizaine, F., & Court, V.",2015,2015
a-Si,Indium,13.41,liang_2022,"Fizaine, F., & Court, V.",2015,2015
a-Si,Molybdenum,10.62,liang_2022,"Fizaine, F., & Court, V.",2015,2015
a-Si,Nickel,334.0,liang_2022,"Fizaine, F., & Court, V.",2015,2015
a-Si,Tellurium,7.8,liang_2022,"Fizaine, F., & Court, V.",2015,2015
a-Si,Tin,143.21,liang_2022,"Fizaine, F., & Court, V.",2015,2015
a-Si,Copper,100.5,liang_2022,"Fizaine, F., & Court, V.",2015,2019
a-Si,Germanium,73.0,liang_2022,"Fthenakis, V.",2009,2008
a-Si,Germanium,73.0,liang_2022,"Fthenakis, V.",2012,2010
a-Si,Germanium,42.0,liang_2022,"Fthenakis, V.",2009,2020
a-Si,Germanium,42.0,liang_2022,"Fthenakis, V.",2012,2020
a-Si,Copper,1005.0,liang_2022,"Månberger, A., & Stenqvist, B.",2018,2018
a-Si,Indium,5.32,liang_2022,"Månberger, A., & Stenqvist, B.",2018,2018
a-Si,Indium,5.32,liang_2022,"Moss, R. L., Tzimas, E., Kara, H., Willis, P., & Kooroshy, J.",2013,2013
a-Si,Tin,0.714,liang_2022,"Moss, R. L., Tzimas, E., Kara, H., Willis, P., & Kooroshy, J.",2013,2013
a-Si,Germanium,73.0,liang_2022,"Nassar, N. T., Wilburn, D. R., & Goonan, T. G.",2016,2010
a-Si,Germanium,36.0,liang_2022,"Nassar, N. T., Wilburn, D. R., & Goonan, T. G.",2016,2020
a-Si,Germanium,41.0,liang_2022,"Nassar, N. T., Wilburn, D. R., & Goonan, T. G.",2016,2020
a-Si,Germanium,48.0,liang_2022,"Nassar, N. T., Wilburn, D. R., & Goonan, T. G.",2016,2020
a-Si,Germanium,6.9,liang_2022,"Valero, A., Valero, A., Calvo, G., & Ortego, A.",2018,2000
a-Si,Germanium,42.0,liang_2022,"Valero, A., Valero, A., Calvo, G., & Ortego, A.",2018,2009
a-Si,Germanium,3.4,liang_2022,"Valero, A., Valero, A., Calvo, G., & Ortego, A.",2018,2011
a-Si,Germanium,6.9,liang_2022,"Valero, A., Valero, A., Calvo, G., & Ortego, A.",2018,2013
a-Si,Germanium,14.8,liang_2022,"Valero, A., Valero, A., Calvo, G., & Ortego, A.",2018,2018
a-Si,Indium,4.0,liang_2022,"Viebahn, P., Lechon, Y., & Trieb, F.",2015,2015
a-Si,Germanium,73.0,liang_2022,"Wang, P., Chen, L. Y., Ge, J. P., Cai, W., & Chen, W. Q.",2019,2013
ASIGE,Copper,7000.0,wang_2023,BBF Associates 2011,2011,2010
ASIGE,Aluminum,31300.0,wang_2023,Bodeker et al 2010,2010,-1
ASIGE,Glass,53400.0,wang_2023,"Fthenakis et al., 2011",2011,-1
ASIGE,Steel,56000.0,wang_2023,IRENA 2017,2017,-1
ASIGE,Glass,70000.0,wang_2023,IRENA 2017,2017,-1
ASIGE,Copper,7000.0,wang_2023,IRENA 2017,2017,-1
ASIGE,Cement,4847.0,wang_2023,IRENA 2017,2017,-1
ASIGE,Cement,7520.0,wang_2023,IRENA 2017,2017,-1
ASIGE,Aluminum,15390.0,wang_2023,IRENA 2017,2017,-1
ASIGE,Steel,55900.0,wang_2023,Mason et al 2006,2006,-1
ASIGE,Copper,7530.0,wang_2023,Mason et al 2006,2006,-1
ASIGE,Cement,6775.0,wang_2023,Mason et al 2006,2006,-1
ASIGE,Cement,10512.0,wang_2023,Mason et al 2006,2006,-1
ASIGE,Aluminum,15390.0,wang_2023,Mason et al 2006,2006,-1
ASIGE,Glass,66700.0,wang_2023,"Rigby et al., 2011",2011,-1
Biomass,Nickel,8.0,wang_2023,Albers et al 1976,1976,-1
Biomass,Manganese,199.0,wang_2023,Albers et al 1976,1976,-1
Biomass,Copper,471.0,wang_2023,Albers et al 1976,1976,-1
Biomass,Nickel,11.0,wang_2023,El-Bassioni 1980,1980,-1
Biomass,Manganese,124.0,wang_2023,El-Bassioni 1980,1980,-1
Biomass,Copper,500.0,wang_2023,El-Bassioni 1980,1980,-1
