material,family,tech,demand_t,share_pct,mode
Aluminum,Bulk commodities,Utility solar PV,17345877.691786602,87.12568736849438,cumulative
Aluminum,Bulk commodities,Distributed solar,1287364.8204676348,6.466236351382254,cumulative
Aluminum,Bulk commodities,CSP,412.2455928642693,0.0020706464833393236,cumulative
Aluminum,Bulk commodities,Onshore wind,1077259.259497579,5.410908293343021,cumulative
Aluminum,Bulk commodities,Offshore wind,101023.47073944543,0.5074254231997063,cumulative
Aluminum,Bulk commodities,Hydro,321.86271495189186,0.0016166671284527552,cumulative
Aluminum,Bulk commodities,Geothermal,47580.71876619877,0.23899066404434602,cumulative
Aluminum,Bulk commodities,Biomass CCS,227.79639589807738,0.0011441864127799842,cumulative
Aluminum,Bulk commodities,Nuclear (SMR),209.3892680052349,0.0010517302281671372,cumulative
Aluminum,Bulk commodities,Natural gas,43620.961876635156,0.21910141156917612,cumulative
Aluminum,Bulk commodities,Coal CCS,5130.010611865611,0.0257672577143847,cumulative
Boron,Base & alloying,Utility solar PV,0.0,0.0,cumulative
Boron,Base & alloying,Distributed solar,0.0,0.0,cumulative
Boron,Base & alloying,CSP,0.0,0.0,cumulative
Boron,Base & alloying,Onshore wind,722.6107461705266,61.28537924360256,cumulative
Boron,Base & alloying,Offshore wind,456.48083340219523,38.71462075639742,cumulative
Boron,Base & alloying,Hydro,0.0,0.0,cumulative
Boron,Base & alloying,Geothermal,0.0,0.0,cumulative
Boron,Base & alloying,Biomass CCS,0.0,0.0,cumulative
Boron,Base & alloying,Nuclear (SMR),0.0,0.0,cumulative
Boron,Base & alloying,Natural gas,0.0,0.0,cumulative
Boron,Base & alloying,Coal CCS,0.0,0.0,cumulative
Cadmium,Specialty metals,Utility solar PV,13580.528488749664,100.0,cumulative
Cadmium,Specialty metals,Distributed solar,0.0,0.0,cumulative
Cadmium,Specialty metals,CSP,0.0,0.0,cumulative
Cadmium,Specialty metals,Onshore wind,0.0,0.0,cumulative
Cadmium,Specialty metals,Offshore wind,0.0,0.0,cumulative
Cadmium,Specialty metals,Hydro,0.0,0.0,cumulative
Cadmium,Specialty metals,Geothermal,0.0,0.0,cumulative
Cadmium,Specialty metals,Biomass CCS,0.0,0.0,cumulative
Cadmium,Specialty metals,Nuclear (SMR),0.0,0.0,cumulative
Cadmium,Specialty metals,Natural gas,0.0,0.0,cumulative
Cadmium,Specialty metals,Coal CCS,0.0,0.0,cumulative
Cement,Bulk commodities,Utility solar PV,6034958.535634183,13.1509798297456,cumulative
Cement,Bulk commodities,Distributed solar,414777.0509103896,0.9038545332425697,cumulative
Cement,Bulk commodities,CSP,12145.08313779228,0.02646575654705895,cumulative
Cement,Bulk commodities,Onshore wind,30788058.297164414,67.09128675405103,cumulative
Cement,Bulk commodities,Offshore wind,11781.866103385866,0.02567425816888545,cumulative
Cement,Bulk commodities,Hydro,4947091.102649582,10.780371550642613,cumulative
Cement,Bulk commodities,Geothermal,1048802.638066962,2.2854808789756125,cumulative
Cement,Bulk commodities,Biomass CCS,5644.202825644692,0.012299471003282764,cumulative
Cement,Bulk commodities,Nuclear (SMR),157192.68438690095,0.34254383183404336,cumulative
Cement,Bulk commodities,Natural gas,2227714.584261558,4.854487299468283,cumulative
Cement,Bulk commodities,Coal CCS,241635.4279326005,0.5265558363210265,cumulative
Chromium,Base & alloying,Utility solar PV,12301.164110435055,3.6687916768670807,cumulative
Chromium,Base & alloying,Distributed solar,0.0,0.0,cumulative
Chromium,Base & alloying,CSP,0.0,0.0,cumulative
Chromium,Base & alloying,Onshore wind,301240.30762698496,89.84417437543432,cumulative
Chromium,Base & alloying,Offshore wind,21750.50431011292,6.487033947698601,cumulative
Chromium,Base & alloying,Hydro,0.0,0.0,cumulative
Chromium,Base & alloying,Geothermal,0.0,0.0,cumulative
Chromium,Base & alloying,Biomass CCS,0.0,0.0,cumulative
Chromium,Base & alloying,Nuclear (SMR),0.0,0.0,cumulative
Chromium,Base & alloying,Natural gas,0.0,0.0,cumulative
Chromium,Base & alloying,Coal CCS,0.0,0.0,cumulative
Copper,Bulk commodities,Utility solar PV,2964101.592321946,54.15305003208989,cumulative
Copper,Bulk commodities,Distributed solar,145562.88197044784,2.6593805187311137,cumulative
Copper,Bulk commodities,CSP,173.52953168422457,0.0031703209619005084,cumulative
Copper,Bulk commodities,Onshore wind,1951175.6397393234,35.64726401885151,cumulative
Copper,Bulk commodities,Offshore wind,281360.5011348129,5.140353264029585,cumulative
Copper,Bulk commodities,Hydro,9358.138879090375,0.17096976845845693,cumulative
Copper,Bulk commodities,Geothermal,8446.158958521411,0.1543082294630458,cumulative
Copper,Bulk commodities,Biomass CCS,105.82955582291106,0.001933467208478015,cumulative
Copper,Bulk commodities,Nuclear (SMR),5517.317830494636,0.10079937519404217,cumulative
Copper,Bulk commodities,Natural gas,99167.87166781744,1.8117606798343158,cumulative
Copper,Bulk commodities,Coal CCS,8594.059883872553,0.15701032517767294,cumulative
Dysprosium,Rare earth elements,Utility solar PV,0.0,0.0,cumulative
Dysprosium,Rare earth elements,Distributed solar,0.0,0.0,cumulative
Dysprosium,Rare earth elements,CSP,0.0,0.0,cumulative
Dysprosium,Rare earth elements,Onshore wind,8560.374360326537,90.27099909386135,cumulative
Dysprosium,Rare earth elements,Offshore wind,922.5985171816557,9.729000906138662,cumulative
Dysprosium,Rare earth elements,Hydro,0.0,0.0,cumulative
Dysprosium,Rare earth elements,Geothermal,0.0,0.0,cumulative
Dysprosium,Rare earth elements,Biomass CCS,0.0,0.0,cumulative
Dysprosium,Rare earth elements,Nuclear (SMR),0.0,0.0,cumulative
Dysprosium,Rare earth elements,Natural gas,0.0,0.0,cumulative
Dysprosium,Rare earth elements,Coal CCS,0.0,0.0,cumulative
Fiberglass,Bulk commodities,Utility solar PV,0.0,0.0,cumulative
Fiberglass,Bulk commodities,Distributed solar,0.0,0.0,cumulative
Fiberglass,Bulk commodities,CSP,0.0,0.0,cumulative
Fiberglass,Bulk commodities,Onshore wind,6497338.365817014,93.45639614576653,cumulative
Fiberglass,Bulk commodities,Offshore wind,454928.8237747347,6.543603854233471,cumulative
Fiberglass,Bulk commodities,Hydro,0.0,0.0,cumulative
Fiberglass,Bulk commodities,Geothermal,0.0,0.0,cumulative
Fiberglass,Bulk commodities,Biomass CCS,0.0,0.0,cumulative
Fiberglass,Bulk commodities,Nuclear (SMR),0.0,0.0,cumulative
Fiberglass,Bulk commodities,Natural gas,0.0,0.0,cumulative
Fiberglass,Bulk commodities,Coal CCS,0.0,0.0,cumulative
Glass,Bulk commodities,Utility solar PV,64463348.36883221,93.33600708528634,cumulative
Glass,Bulk commodities,Distributed solar,4593404.451711217,6.65075645772371,cumulative
Glass,Bulk commodities,CSP,9141.877446428234,0.013236456989956734,cumulative
Glass,Bulk commodities,Onshore wind,0.0,0.0,cumulative
Glass,Bulk commodities,Offshore wind,0.0,0.0,cumulative
Glass,Bulk commodities,Hydro,0.0,0.0,cumulative
Glass,Bulk commodities,Geothermal,0.0,0.0,cumulative
Glass,Bulk commodities,Biomass CCS,0.0,0.0,cumulative
Glass,Bulk commodities,Nuclear (SMR),0.0,0.0,cumulative
Glass,Bulk commodities,Natural gas,0.0,0.0,cumulative
Glass,Bulk commodities,Coal CCS,0.0,0.0,cumulative
Indium,Specialty metals,Utility solar PV,3110.660583062015,100.00000000000001,cumulative
Indium,Specialty metals,Distributed solar,0.0,0.0,cumulative
Indium,Specialty metals,CSP,0.0,0.0,cumulative
Indium,Specialty metals,Onshore wind,0.0,0.0,cumulative
Indium,Specialty metals,Offshore wind,0.0,0.0,cumulative
Indium,Specialty metals,Hydro,0.0,0.0,cumulative
Indium,Specialty metals,Geothermal,0.0,0.0,cumulative
Indium,Specialty metals,Biomass CCS,0.0,0.0,cumulative
Indium,Specialty metals,Nuclear (SMR),0.0,0.0,cumulative
Indium,Specialty metals,Natural gas,0.0,0.0,cumulative
Indium,Specialty metals,Coal CCS,0.0,0.0,cumulative
Lead,Base & alloying,Utility solar PV,17008.89321288055,0.3204526541467106,cumulative
Lead,Base & alloying,Distributed solar,1390.8281563849694,0.026203619988514167,cumulative
Lead,Base & alloying,CSP,0.0,0.0,cumulative
Lead,Base & alloying,Onshore wind,4851546.591463472,91.40459420214098,cumulative
Lead,Base & alloying,Offshore wind,437824.7393906239,8.248749523723793,cumulative
Lead,Base & alloying,Hydro,0.0,0.0,cumulative
Lead,Base & alloying,Geothermal,0.0,0.0,cumulative
Lead,Base & alloying,Biomass CCS,0.0,0.0,cumulative
Lead,Base & alloying,Nuclear (SMR),0.0,0.0,cumulative
Lead,Base & alloying,Natural gas,0.0,0.0,cumulative
Lead,Base & alloying,Coal CCS,0.0,0.0,cumulative
Magnesium,Base & alloying,Utility solar PV,39939.70700823639,91.72649498583723,cumulative
Magnesium,Base & alloying,Distributed solar,3602.4636747305854,8.27350501416277,cumulative
Magnesium,Base & alloying,CSP,0.0,0.0,cumulative
Magnesium,Base & alloying,Onshore wind,0.0,0.0,cumulative
Magnesium,Base & alloying,Offshore wind,0.0,0.0,cumulative
Magnesium,Base & alloying,Hydro,0.0,0.0,cumulative
Magnesium,Base & alloying,Geothermal,0.0,0.0,cumulative
Magnesium,Base & alloying,Biomass CCS,0.0,0.0,cumulative
Magnesium,Base & alloying,Nuclear (SMR),0.0,0.0,cumulative
Magnesium,Base & alloying,Natural gas,0.0,0.0,cumulative
Magnesium,Base & alloying,Coal CCS,0.0,0.0,cumulative
Manganese,Base & alloying,Utility solar PV,0.0,0.0,cumulative
Manganese,Base & alloying,Distributed solar,0.0,0.0,cumulative
Manganese,Base & alloying,CSP,288.2442286056425,0.0484904203646406,cumulative
Manganese,Base & alloying,Onshore wind,565545.8015783635,95.13999217487071,cumulative
Manganese,Base & alloying,Offshore wind,0.0,0.0,cumulative
Manganese,Base & alloying,Hydro,0.0,0.0,cumulative
Manganese,Base & alloying,Geothermal,0.0,0.0,cumulative
