scenario,year,material,mean,std,p2_5,p2,p5,p25,p50,p75,p95,p97_5,p97,bucket_years,mean_annual,std_annual,p2_annual,p5_annual,p25_annual,p50_annual,p75_annual,p95_annual,p97_annual
Adv_CCS,2026,Aluminum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2027,Aluminum,642178.6527511061,357004.1718986598,236031.00846099737,236031.00846099737,266767.43142433825,410083.08957435586,559481.5835492213,777830.2102617724,1276885.2224077904,1524723.9593093921,1524723.9593093921,1.0,642178.6527511061,357004.1718986598,236031.00846099737,266767.43142433825,410083.08957435586,559481.5835492213,777830.2102617724,1276885.2224077904,1524723.9593093921
Adv_CCS,2028,Aluminum,776872.8515671836,431582.32934409473,287382.65453405277,287382.65453405277,324206.2464066185,496832.0473537554,676466.5630153365,941321.6044717946,1539086.5156987559,1840020.0676678035,1840020.0676678035,1.0,776872.8515671836,431582.32934409473,287382.65453405277,324206.2464066185,496832.0473537554,676466.5630153365,941321.6044717946,1539086.5156987559,1840020.0676678035
Adv_CCS,2029,Aluminum,882505.7950276879,490662.23917007644,326256.22765319224,326256.22765319224,367877.9113844843,563974.1114094001,768472.8488577022,1068818.39237172,1750804.286748283,2084322.6397557592,2084322.6397557592,1.0,882505.7950276879,490662.23917007644,326256.22765319224,367877.9113844843,563974.1114094001,768472.8488577022,1068818.39237172,1750804.286748283,2084322.6397557592
Adv_CCS,2030,Aluminum,1132820.6518661554,617642.8130784109,428737.9089368426,428737.9089368426,483047.0797736483,733102.7444159437,989737.3799863231,1368961.09739438,2227838.5436499636,2647558.33435577,2647558.33435577,1.0,1132820.6518661554,617642.8130784109,428737.9089368426,483047.0797736483,733102.7444159437,989737.3799863231,1368961.09739438,2227838.5436499636,2647558.33435577
Adv_CCS,2031,Aluminum,1301811.9107884257,707907.5214636597,495578.4476532576,495578.4476532576,556650.4828200585,843216.224374959,1139386.1115284078,1574062.036944988,2554236.6388880224,3037541.4989594095,3037541.4989594095,1.0,1301811.9107884257,707907.5214636597,495578.4476532576,556650.4828200585,843216.224374959,1139386.1115284078,1574062.036944988,2554236.6388880224,3037541.4989594095
Adv_CCS,2032,Aluminum,1102733.64741388,626963.5404273683,398382.3730068679,398382.3730068679,451892.9905790152,691253.6103499538,957009.5120232347,1338751.9302799227,2223747.4910738855,2652247.666532742,2652247.666532742,1.0,1102733.64741388,626963.5404273683,398382.3730068679,451892.9905790152,691253.6103499538,957009.5120232347,1338751.9302799227,2223747.4910738855,2652247.666532742
Adv_CCS,2033,Aluminum,838250.0136788791,507832.91748600436,274929.6468004633,274929.6468004633,317937.0592239807,506252.61935318564,714434.1752658924,1030694.4104673122,1741086.1253044626,2109982.9680548855,2109982.9680548855,1.0,838250.0136788791,507832.91748600436,274929.6468004633,317937.0592239807,506252.61935318564,714434.1752658924,1030694.4104673122,1741086.1253044626,2109982.9680548855
Adv_CCS,2034,Aluminum,749732.0306902569,455058.8420990516,244884.3318823636,244884.3318823636,282973.66724784765,452238.64002691593,639146.7281029744,922997.3465407982,1559020.272001796,1889213.6527680072,1889213.6527680072,1.0,749732.0306902569,455058.8420990516,244884.3318823636,282973.66724784765,452238.64002691593,639146.7281029744,922997.3465407982,1559020.272001796,1889213.6527680072
Adv_CCS,2035,Aluminum,655201.0570650718,395927.40029804094,215983.08688515186,215983.08688515186,249070.8345997308,396528.4045809884,559148.2937303423,805938.7329240582,1357793.3002043588,1645580.2896694688,1645580.2896694688,1.0,655201.0570650718,395927.40029804094,215983.08688515186,249070.8345997308,396528.4045809884,559148.2937303423,805938.7329240582,1357793.3002043588,1645580.2896694688
Adv_CCS,2036,Aluminum,548437.7114438224,322310.13279431104,188167.97202152482,188167.97202152482,214491.16184371363,336973.77349089785,471274.2634962953,672949.2391984896,1120311.312046898,1357243.826843221,1357243.826843221,1.0,548437.7114438224,322310.13279431104,188167.97202152482,214491.16184371363,336973.77349089785,471274.2634962953,672949.2391984896,1120311.312046898,1357243.826843221
Adv_CCS,2037,Aluminum,496679.6040132195,283206.2161522558,177532.8242572893,177532.8242572893,202071.58576535498,311293.8701039301,431144.173931114,604532.6735562793,1001321.3935711726,1197017.5389214759,1197017.5389214759,1.0,496679.6040132195,283206.2161522558,177532.8242572893,202071.58576535498,311293.8701039301,431144.173931114,604532.6735562793,1001321.3935711726,1197017.5389214759
Adv_CCS,2038,Aluminum,539764.9212261209,310387.2370857149,191439.41651605064,191439.41651605064,217288.74438318308,336363.9249581599,467508.0372588389,658065.1072573503,1094441.1448968935,1309282.4059687722,1309282.4059687722,1.0,539764.9212261209,310387.2370857149,191439.41651605064,217288.74438318308,336363.9249581599,467508.0372588389,658065.1072573503,1094441.1448968935,1309282.4059687722
Adv_CCS,2039,Aluminum,608981.8105469042,353596.1033336604,213498.83903440714,213498.83903440714,242285.13124559933,376940.2097830878,525541.8009593708,742499.5446468954,1239025.3502849403,1486013.5034455643,1486013.5034455643,1.0,608981.8105469042,353596.1033336604,213498.83903440714,242285.13124559933,376940.2097830878,525541.8009593708,742499.5446468954,1239025.3502849403,1486013.5034455643
Adv_CCS,2040,Aluminum,669864.4340359974,389606.7740807709,234023.8805117269,234023.8805117269,266676.9887489474,414449.8693946851,577226.0795787112,816965.3586630751,1366594.7100255762,1634596.7199708044,1634596.7199708044,1.0,669864.4340359974,389606.7740807709,234023.8805117269,266676.9887489474,414449.8693946851,577226.0795787112,816965.3586630751,1366594.7100255762,1634596.7199708044
Adv_CCS,2041,Aluminum,773891.725259237,457173.03634820867,265823.20530348434,265823.20530348434,302891.2125604848,476691.9976538819,664919.6149034651,944748.0314694016,1585832.4162008753,1905574.7844074527,1905574.7844074527,1.0,773891.725259237,457173.03634820867,265823.20530348434,302891.2125604848,476691.9976538819,664919.6149034651,944748.0314694016,1585832.4162008753,1905574.7844074527
Adv_CCS,2042,Aluminum,1199834.2012817883,729347.6494753974,393920.52752769634,393920.52752769634,454446.4131556859,727713.4732242058,1020774.741757977,1470271.6905831965,2496483.9322084067,3013224.5135734268,3013224.5135734268,1.0,1199834.2012817883,729347.6494753974,393920.52752769634,454446.4131556859,727713.4732242058,1020774.741757977,1470271.6905831965,2496483.9322084067,3013224.5135734268
Adv_CCS,2043,Aluminum,1380840.1983150279,844414.9973948996,449667.64068268565,449667.64068268565,520233.25652892556,836017.1112471394,1172054.3107217988,1694769.6731155943,2885250.509263922,3474593.1902560163,3474593.1902560163,1.0,1380840.1983150279,844414.9973948996,449667.64068268565,520233.25652892556,836017.1112471394,1172054.3107217988,1694769.6731155943,2885250.509263922,3474593.1902560163
Adv_CCS,2044,Aluminum,754713.3673994602,448562.1450185952,256548.21039537757,256548.21039537757,294642.57036749093,465347.90089101787,645776.1039585839,919715.6189134009,1555547.3357379138,1863244.1751794484,1863244.1751794484,1.0,754713.3673994602,448562.1450185952,256548.21039537757,294642.57036749093,465347.90089101787,645776.1039585839,919715.6189134009,1555547.3357379138,1863244.1751794484
Adv_CCS,2045,Aluminum,163868.62247593937,78647.04658119155,66101.21064000226,66101.21064000226,73920.66788359739,110620.43792131172,146131.00762218516,198116.3818830491,307202.66046020173,353446.36732917133,353446.36732917133,1.0,163868.62247593937,78647.04658119155,66101.21064000226,73920.66788359739,110620.43792131172,146131.00762218516,198116.3818830491,307202.66046020173,353446.36732917133
Adv_CCS,2046,Aluminum,136892.73163895286,63071.79785193953,57071.17293472859,57071.17293472859,64464.27290967283,94187.05917255378,122766.5423849285,163829.48404015112,252873.3746602523,293525.5346406314,293525.5346406314,1.0,136892.73163895286,63071.79785193953,57071.17293472859,64464.27290967283,94187.05917255378,122766.5423849285,163829.48404015112,252873.3746602523,293525.5346406314
Adv_CCS,2047,Aluminum,95664.16499488341,48757.16851142234,37884.259257400336,37884.259257400336,42956.37879022815,62773.07697535357,84460.84520572046,114491.60168514072,186169.3725746591,219615.31674110715,219615.31674110715,1.0,95664.16499488341,48757.16851142234,37884.259257400336,42956.37879022815,62773.07697535357,84460.84520572046,114491.60168514072,186169.3725746591,219615.31674110715
Adv_CCS,2048,Aluminum,75114.08011805195,51672.74133138668,20604.57660588461,20604.57660588461,24223.839003354566,41211.199679933874,61715.27762958192,92866.56511642833,170314.83291174492,210019.01291310648,210019.01291310648,1.0,75114.08011805195,51672.74133138668,20604.57660588461,24223.839003354566,41211.199679933874,61715.27762958192,92866.56511642833,170314.83291174492,210019.01291310648
Adv_CCS,2049,Aluminum,83875.0723591006,57905.97936642164,22854.30853665203,22854.30853665203,26914.58156273112,45855.16729081499,68924.94405313398,103736.05860388612,190597.08726451304,235334.7931039201,235334.7931039201,1.0,83875.0723591006,57905.97936642164,22854.30853665203,26914.58156273112,45855.16729081499,68924.94405313398,103736.05860388612,190597.08726451304,235334.7931039201
Adv_CCS,2050,Aluminum,91332.28181902145,63268.44549799007,24757.81826139302,24757.81826139302,29098.481894708024,49753.05467603431,75026.64177595024,113108.80959135722,208070.69705310077,256705.7878896438,256705.7878896438,1.0,91332.28181902145,63268.44549799007,24757.81826139302,29098.481894708024,49753.05467603431,75026.64177595024,113108.80959135722,208070.69705310077,256705.7878896438
Adv_CCS,2026,Boron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2027,Boron,32.108294827455126,20.041454253977133,9.695027968134452,9.695027968134452,11.236019676725974,18.91228390064219,27.290360525192984,39.567700182526515,68.40225420489593,84.33878710362556,84.33878710362556,1.0,32.108294827455126,20.041454253977133,9.695027968134452,11.236019676725974,18.91228390064219,27.290360525192984,39.567700182526515,68.40225420489593,84.33878710362556
Adv_CCS,2028,Boron,52.08166054020778,29.565789064104663,16.478847462400566,16.478847462400566,19.650578145175867,31.92577875807865,45.24299056220963,64.76212193045359,106.3008245848726,127.72208139659865,127.72208139659865,1.0,52.08166054020778,29.565789064104663,16.478847462400566,19.650578145175867,31.92577875807865,45.24299056220963,64.76212193045359,106.3008245848726,127.72208139659865
Adv_CCS,2029,Boron,64.32187126305934,36.09228869596313,20.531137626639666,20.531137626639666,24.407907159759443,39.6645827424033,56.03435815700111,79.86848075148893,131.7374286233981,155.90358544367,155.90358544367,1.0,64.32187126305934,36.09228869596313,20.531137626639666,24.407907159759443,39.6645827424033,56.03435815700111,79.86848075148893,131.7374286233981,155.90358544367
Adv_CCS,2030,Boron,102.31751723049118,56.69521755369584,32.56524092945663,32.56524092945663,38.90068476851551,63.105669212628115,89.3755724808959,127.63432624738573,209.58871059126847,250.26892959320972,250.26892959320972,1.0,102.31751723049118,56.69521755369584,32.56524092945663,38.90068476851551,63.105669212628115,89.3755724808959,127.63432624738573,209.58871059126847,250.26892959320972
Adv_CCS,2031,Boron,134.7698447914233,75.23417189590808,43.03856970481786,43.03856970481786,50.65548653868145,82.82589337673339,117.32662552122375,168.2534642339615,277.65728866344534,331.1559982088991,331.1559982088991,1.0,134.7698447914233,75.23417189590808,43.03856970481786,50.65548653868145,82.82589337673339,117.32662552122375,168.2534642339615,277.65728866344534,331.1559982088991
Adv_CCS,2032,Boron,112.54088688583286,62.36155706937897,35.82228515893007,35.82228515893007,42.79028714509008,69.43318378784654,98.29632447275519,140.44286932063744,230.49252506707262,275.257263270259,275.257263270259,1.0,112.54088688583286,62.36155706937897,35.82228515893007,42.79028714509008,69.43318378784654,98.29632447275519,140.44286932063744,230.49252506707262,275.257263270259
Adv_CCS,2033,Boron,76.06785890394204,42.92020692043795,24.222903869272102,24.222903869272102,28.727456035100243,46.809657989479064,66.24433325395304,94.53539052818402,155.26844048347238,185.7732270769557,185.7732270769557,1.0,76.06785890394204,42.92020692043795,24.222903869272102,28.727456035100243,46.809657989479064,66.24433325395304,94.53539052818402,155.26844048347238,185.7732270769557
Adv_CCS,2034,Boron,65.2750272350455,37.57556760036975,20.40006437763547,20.40006437763547,24.391571902430776,39.86067729778172,56.429863238056086,81.01787310245258,133.87333295171703,162.07829823482072,162.07829823482072,1.0,65.2750272350455,37.57556760036975,20.40006437763547,24.391571902430776,39.86067729778172,56.429863238056086,81.01787310245258,133.87333295171703,162.07829823482072
Adv_CCS,2035,Boron,59.68730968357002,33.99861410484183,18.849690534286168,18.849690534286168,22.431096136220436,36.57503985237473,51.73051617318856,74.15309745678545,122.09791486408362,146.89794060467466,146.89794060467466,1.0,59.68730968357002,33.99861410484183,18.849690534286168,22.431096136220436,36.57503985237473,51.73051617318856,74.15309745678545,122.09791486408362,146.89794060467466
Adv_CCS,2036,Boron,57.68392506437009,32.060956064254505,18.45345798697866,18.45345798697866,22.113491507811446,35.70941582234041,50.229136987531334,71.43683734081446,118.21743895960249,139.81224681485045,139.81224681485045,1.0,57.68392506437009,32.060956064254505,18.45345798697866,22.113491507811446,35.70941582234041,50.229136987531334,71.43683734081446,118.21743895960249,139.81224681485045
Adv_CCS,2037,Boron,53.6004573508635,29.70520258751546,17.17613200458532,17.17613200458532,20.601919239197596,33.20808461226647,46.84512907396223,66.79253177295595,109.14435874735373,130.5734611701836,130.5734611701836,1.0,53.6004573508635,29.70520258751546,17.17613200458532,20.601919239197596,33.20808461226647,46.84512907396223,66.79253177295595,109.14435874735373,130.5734611701836
Adv_CCS,2038,Boron,46.22547971490435,26.136775303493597,14.665010132516723,14.665010132516723,17.458119931775187,28.42414510590029,40.24217340300615,57.4675906694128,94.22516062039021,113.30882876606718,113.30882876606718,1.0,46.22547971490435,26.136775303493597,14.665010132516723,17.458119931775187,28.42414510590029,40.24217340300615,57.4675906694128,94.22516062039021,113.30882876606718
