scenario,year,material,mean,std,p2_5,p2,p5,p25,p50,p75,p95,p97_5,p97,bucket_years,mean_annual,std_annual,p2_annual,p5_annual,p25_annual,p50_annual,p75_annual,p95_annual,p97_annual
Mid_Case,2026,Aluminum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mid_Case,2027,Aluminum,639095.2415104812,355715.3540664667,234624.79707635453,234624.79707635453,265145.04180481104,407983.2149595972,556776.2091419497,774266.5734202713,1272715.7489906042,1517653.5309466277,1517653.5309466277,1.0,639095.2415104812,355715.3540664667,234624.79707635453,265145.04180481104,407983.2149595972,556776.2091419497,774266.5734202713,1272715.7489906042,1517653.5309466277
Mid_Case,2028,Aluminum,782066.8095459142,434793.87848687405,289226.50198287726,289226.50198287726,326390.87762005447,499953.14328756323,680944.4512264971,947464.3420215847,1550443.1386961367,1851328.602776877,1851328.602776877,1.0,782066.8095459142,434793.87848687405,289226.50198287726,326390.87762005447,499953.14328756323,680944.4512264971,947464.3420215847,1550443.1386961367,1851328.602776877
Mid_Case,2029,Aluminum,892855.039549675,496742.2889708895,329595.7754412877,329595.7754412877,372049.0098949986,570457.6432664532,777459.2883788544,1080774.7132446496,1772673.6269214991,2110209.071842937,2110209.071842937,1.0,892855.039549675,496742.2889708895,329595.7754412877,372049.0098949986,570457.6432664532,777459.2883788544,1080774.7132446496,1772673.6269214991,2110209.071842937
Mid_Case,2030,Aluminum,1138811.6184667074,619914.3629936114,433565.2821068528,433565.2821068528,485463.8610022917,737500.5828062987,996285.377375515,1376281.56067533,2237873.995951952,2658463.3215291044,2658463.3215291044,1.0,1138811.6184667074,619914.3629936114,433565.2821068528,485463.8610022917,737500.5828062987,996285.377375515,1376281.56067533,2237873.995951952,2658463.3215291044
Mid_Case,2031,Aluminum,1318746.9321329638,716411.8905879192,501250.91348408494,501250.91348408494,562567.5673981431,852789.9757672943,1155138.6806201665,1596101.0933780668,2590573.9408815214,3075265.738546978,3075265.738546978,1.0,1318746.9321329638,716411.8905879192,501250.91348408494,562567.5673981431,852789.9757672943,1155138.6806201665,1596101.0933780668,2590573.9408815214,3075265.738546978
Mid_Case,2032,Aluminum,1164714.4865214583,665274.998787466,417653.11946731136,417653.11946731136,474578.41660192324,727367.7925216584,1009273.9814859057,1414883.9333279293,2349329.7378932172,2811126.731588237,2811126.731588237,1.0,1164714.4865214583,665274.998787466,417653.11946731136,474578.41660192324,727367.7925216584,1009273.9814859057,1414883.9333279293,2349329.7378932172,2811126.731588237
Mid_Case,2033,Aluminum,971743.4158800148,593505.8569266088,314772.92375617835,314772.92375617835,365990.6922734424,584200.8109806783,825360.8855415779,1193893.2199680945,2026855.0813017562,2448703.3325259574,2448703.3325259574,1.0,971743.4158800148,593505.8569266088,314772.92375617835,365990.6922734424,584200.8109806783,825360.8855415779,1193893.2199680945,2026855.0813017562,2448703.3325259574
Mid_Case,2034,Aluminum,907599.3692778769,556635.5830342687,291620.2119408188,291620.2119408188,338460.1104493643,543374.1739041945,770159.681479081,1116365.4943848434,1898279.022090916,2294411.1921360604,2294411.1921360604,1.0,907599.3692778769,556635.5830342687,291620.2119408188,338460.1104493643,543374.1739041945,770159.681479081,1116365.4943848434,1898279.022090916,2294411.1921360604
Mid_Case,2035,Aluminum,761136.0370018524,463961.420197752,247135.3864669589,247135.3864669589,286627.10517204244,458164.4051893465,646677.5785054965,935719.712867903,1584686.1991395121,1920484.4540370482,1920484.4540370482,1.0,761136.0370018524,463961.420197752,247135.3864669589,286627.10517204244,458164.4051893465,646677.5785054965,935719.712867903,1584686.1991395121,1920484.4540370482
Mid_Case,2036,Aluminum,583464.746046565,344630.4687350042,198554.1550953015,198554.1550953015,227208.2764771812,357680.8799963672,501410.6882777355,716388.3813326508,1194382.5369282574,1445967.948619256,1445967.948619256,1.0,583464.746046565,344630.4687350042,198554.1550953015,227208.2764771812,357680.8799963672,501410.6882777355,716388.3813326508,1194382.5369282574,1445967.948619256
Mid_Case,2037,Aluminum,508696.24146253325,290759.53798557643,181045.36143485527,181045.36143485527,206217.72331567414,318286.30649153783,441486.92602654325,619222.9455185002,1026506.3885873221,1228380.229398529,1228380.229398529,1.0,508696.24146253325,290759.53798557643,181045.36143485527,206217.72331567414,318286.30649153783,441486.92602654325,619222.9455185002,1026506.3885873221,1228380.229398529
Mid_Case,2038,Aluminum,552774.5687803922,318409.7651003074,195973.02597157986,195973.02597157986,222021.06207151763,343809.88706130115,478301.16208312364,674318.240982777,1122114.339100393,1342820.8554676399,1342820.8554676399,1.0,552774.5687803922,318409.7651003074,195973.02597157986,222021.06207151763,343809.88706130115,478301.16208312364,674318.240982777,1122114.339100393,1342820.8554676399
Mid_Case,2039,Aluminum,646064.0902763214,376748.2055261562,225309.83490481478,225309.83490481478,255904.43866815555,398820.968627152,556874.0754313378,787827.0200198456,1316609.0790648125,1581447.937374619,1581447.937374619,1.0,646064.0902763214,376748.2055261562,225309.83490481478,255904.43866815555,398820.968627152,556874.0754313378,787827.0200198456,1316609.0790648125,1581447.937374619
Mid_Case,2040,Aluminum,707804.1692679152,413143.6974412064,246795.40471512137,246795.40471512137,280810.86775794235,436994.3582192746,609190.4747491612,863654.8284382044,1446073.445872369,1733315.678784222,1733315.678784222,1.0,707804.1692679152,413143.6974412064,246795.40471512137,280810.86775794235,436994.3582192746,609190.4747491612,863654.8284382044,1446073.445872369,1733315.678784222
Mid_Case,2041,Aluminum,767250.1251377818,452217.2112819917,264295.54956899345,264295.54956899345,301087.4690373203,472922.3341171938,658954.4490221036,936053.6554349432,1569877.2489925353,1885724.0280875012,1885724.0280875012,1.0,767250.1251377818,452217.2112819917,264295.54956899345,301087.4690373203,472922.3341171938,658954.4490221036,936053.6554349432,1569877.2489925353,1885724.0280875012
Mid_Case,2042,Aluminum,858902.4958326052,507601.58120908355,293313.7490447265,293313.7490447265,337582.94809471635,528978.6052144794,736398.3931726674,1046833.2571569416,1772865.8638921515,2116319.563286965,2116319.563286965,1.0,858902.4958326052,507601.58120908355,293313.7490447265,337582.94809471635,528978.6052144794,736398.3931726674,1046833.2571569416,1772865.8638921515,2116319.563286965
Mid_Case,2043,Aluminum,947454.6170356479,560565.0589131204,324446.45357714966,324446.45357714966,372826.5376986133,584421.9086266637,812233.3230639058,1155283.9420874729,1957380.9718596006,2340912.5139733814,2340912.5139733814,1.0,947454.6170356479,560565.0589131204,324446.45357714966,372826.5376986133,584421.9086266637,812233.3230639058,1155283.9420874729,1957380.9718596006,2340912.5139733814
Mid_Case,2044,Aluminum,980752.6186418703,587789.7229443996,328962.376570557,328962.376570557,381074.12340564036,600917.2853050855,838486.5917278255,1198257.372099405,2042928.8899708379,2440733.579642731,2440733.579642731,1.0,980752.6186418703,587789.7229443996,328962.376570557,381074.12340564036,600917.2853050855,838486.5917278255,1198257.372099405,2042928.8899708379,2440733.579642731
Mid_Case,2045,Aluminum,1096539.3418252333,672370.2854428906,357815.73637528246,357815.73637528246,414619.1096683092,662971.1690660915,928840.4974947518,1347957.801760305,2294151.8611611845,2767002.126967748,2767002.126967748,1.0,1096539.3418252333,672370.2854428906,357815.73637528246,414619.1096683092,662971.1690660915,928840.4974947518,1347957.801760305,2294151.8611611845,2767002.126967748
Mid_Case,2046,Aluminum,1143617.0862935137,704648.626740203,373009.6359381204,373009.6359381204,429154.73542077705,688627.5366401327,968078.5179153706,1407610.1615001522,2401902.3188378336,2896640.0962164537,2896640.0962164537,1.0,1143617.0862935137,704648.626740203,373009.6359381204,429154.73542077705,688627.5366401327,968078.5179153706,1407610.1615001522,2401902.3188378336,2896640.0962164537
Mid_Case,2047,Aluminum,908644.1607266393,547278.9508008241,304742.46689794876,304742.46689794876,351527.08119085926,556381.0222436092,775110.0503713018,1111765.1519658768,1883689.7204051386,2264184.001481475,2264184.001481475,1.0,908644.1607266393,547278.9508008241,304742.46689794876,351527.08119085926,556381.0222436092,775110.0503713018,1111765.1519658768,1883689.7204051386,2264184.001481475
Mid_Case,2048,Aluminum,667985.992336284,384573.21129008837,236872.80344000418,236872.80344000418,269255.4274588396,418241.94608393346,576545.2136594811,811627.5210830102,1355899.0688866999,1617664.5967535132,1617664.5967535132,1.0,667985.992336284,384573.21129008837,236872.80344000418,269255.4274588396,418241.94608393346,576545.2136594811,811627.5210830102,1355899.0688866999,1617664.5967535132
Mid_Case,2049,Aluminum,565513.2351605677,314033.7242965412,206436.1350176835,206436.1350176835,235182.31088519376,360724.83773144614,493219.1847705927,685347.6525337476,1129967.1065273536,1342906.6508118093,1342906.6508118093,1.0,565513.2351605677,314033.7242965412,206436.1350176835,235182.31088519376,360724.83773144614,493219.1847705927,685347.6525337476,1129967.1065273536,1342906.6508118093
Mid_Case,2050,Aluminum,396795.78900686605,203853.31736250248,153412.90748342866,153412.90748342866,174826.0621378539,262325.3848890299,351890.57323612523,480565.5876652195,765750.1534018015,899366.380525512,899366.380525512,1.0,396795.78900686605,203853.31736250248,153412.90748342866,174826.0621378539,262325.3848890299,351890.57323612523,480565.5876652195,765750.1534018015,899366.380525512
Mid_Case,2026,Boron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mid_Case,2027,Boron,31.548563216684403,19.617636883856008,9.576575831205046,9.576575831205046,11.074009235921887,18.607558871651985,26.89117736320729,38.95915791593947,67.264187252806,82.45879083105024,82.45879083105024,1.0,31.548563216684403,19.617636883856008,9.576575831205046,11.074009235921887,18.607558871651985,26.89117736320729,38.95915791593947,67.264187252806,82.45879083105024
