material,growth_rate_long_pct,scenario_cv,import_dependency,hhi_wgi,us_capacity_ratio,global_capacity_ratio,global_reserve_coverage,domestic_reserve_share,reserves_high_risk_frac,reserves_china_frac,import_china_frac,import_hhi,production_hhi_mining,production_hhi_processing,production_hhi,excluded_from_criticality,zero_demand
Aluminum,-1.1831215605572099,0.22812174373384475,0.442,0.00876960240421339,0.9846709030441658,0.011433123263123925,0.0,0.0,,,0.0,0.4236280313699937,0.4542958589142639,,0.4542958589142639,False,False
Boron,-3.819973808331567,0.232814049058954,0.0,0.30086970571428573,,1.1368186751378202e-05,892.0537824371407,0.04419482552251174,0.9198968787404475,0.00837860233864285,0.011200000000000002,0.40853852,0.4533658289003059,,0.4533658289003059,False,False
Cadmium,-1.2500837188877068,0.2424402318987774,0.15,0.1327942158231559,2.044323993894565,0.022811248565206853,0.0,0.0,,,0.363681891025641,0.24787921892977485,0.2091677341402002,,0.2091677341402002,False,False
Cement,-1.7352282506315486,0.3094965786568706,0.2,0.05763658646303069,0.01318179046467988,0.0005507062056753032,0.0,0.0,,,0.0,0.17829453996633135,0.28746865023088797,,0.28746865023088797,False,False
Chromium,-3.1001382219515428,0.30262187329730555,0.77,0.11608055615066663,0.1368147123595567,0.0003202046459478986,3.4760076519064524,0.000525,0.7391666666666666,0.0,0.0,0.18978256543487138,0.29485537190082645,,0.29485537190082645,False,False
Copper,-1.530364963769093,0.24516542913441697,0.418,0.004437601428571429,0.2540939445991246,0.010225624135693466,0.17764367022815866,0.04795918367346939,0.0836734693877551,0.04183673469387755,0.0,0.4908485600000002,0.13776635825228947,,0.13776635825228947,False,False
Dysprosium,-3.2758298766811245,0.2989288783405195,0.945,0.36038535503942426,0.010043600871630282,0.0010932845841110776,9.208860651874327,0.021111111111111112,0.49877777777777776,0.4888888888888889,0.5994400559944005,0.396999366156775,0.4951157359721789,1.0,1.0,False,False
Fiberglass,-3.2247791582924568,0.3065728712013453,,,0.0,0.0,0.0,0.0,,,,,,,,True,False
Gadium,-18.145326929309725,0.0,0.945,0.36038535503942426,0.0,0.0,0.0,0.021111111111111112,0.49877777777777776,0.4888888888888889,0.5994400559944005,0.396999366156775,0.4951157359721789,1.0,1.0,False,True
Gallium,-18.145326929309725,0.0,1.0,0.08124050438070354,0.0,0.0,0.0,0.0,,,0.2745549109821964,0.179245290946567,0.9688449376898755,,0.9688449376898755,False,True
Germanium,-18.145326929309725,0.0,0.75,0.3182109199999999,0.0,0.0,0.0,0.0,,,0.5631999999999999,0.45566853999999984,0.81,,0.81,False,True
Glass,-1.1518087014355638,0.22493314873949208,,,0.0,0.0,0.0,0.0,,,,,,,,True,False
Indium,-1.250083718887729,0.2424402318987773,1.0,0.012934811428571428,,0.11611076815031615,0.0005914062889322465,0.0,0.6116666666666667,0.6111111111111112,0.1056,0.20423848000000006,0.5306074768369444,,0.5306074768369444,False,False
