material,pchip_cumulative_t,mean_preserving_cumulative_t
Aluminum,19909028.22771768,19917500.963102758
Boron,1179.0915795727217,1179.0915795727215
Cadmium,13580.528488749664,13580.528488749658
Cement,45889801.473073415,46207720.23547613
Chromium,335291.9760475329,335291.97604753287
Copper,5473563.521473833,5482834.71019638
Dysprosium,9482.972877508193,9482.972877508191
Fiberglass,6952267.18959175,6952267.189591749
Glass,69065894.69798985,69117621.8501933
Indium,3110.660583062015,3110.660583062014
Lead,5307771.052223362,5307772.943211737
Magnesium,43542.17068296698,43547.085231171135
Manganese,594435.4089696266,597908.1425064057
Molybdenum,100371.157383241,100371.15738324099
Neodymium,89282.53781880744,89282.53781880742
Nickel,158584.15198817098,159283.2319713523
Niobium,29254.736451760262,29254.736451760255
Praseodymium,4933.01485237696,4933.014852376959
Silicon,3353550.0028114286,3353925.4761092756
Silver,22958.723316763568,22966.818706345737
Steel,153883932.13583758,154757764.89852875
Tellurium,14832.850879525342,14832.850879525338
Terbium,4786.106378930722,4786.106378930721
Tin,478024.5642469501,478077.5945652302
Vanadium,70833.16496164116,70833.16496164115
Yttrium,887.9487370947774,887.9487370947772
Zinc,4010839.957884431,4010839.95788443
