Material,Mid_Case,Mid_Case_100by2035,Mid_Case_95by2050,Mid_Case_No_IRA,peak_year
Steel,14252300.895209128,15661200.154526744,14205865.156728616,10697012.214022258,2031
Cement,5344396.051634527,6359492.2420460675,5304879.861563445,3503249.894381312,2031
Glass,4422869.911388453,5641233.950156855,5043833.197704635,3025567.8052600673,2031
Aluminum,1318746.9321329638,1570832.049492374,1476294.079562233,868351.9016978274,2031
Fiberglass,608541.6003348972,859282.6948165637,709345.1361356645,408373.9455252294,2031
Lead,472363.9750644224,659134.934517627,531057.2806774444,322282.772067783,2031
Copper,428530.06091225747,432138.5489279771,443247.24509613664,263515.4354250387,2031
Zinc,327489.2789956398,482690.3334035711,437888.1538380484,203779.14957571196,2031
Silicon,217011.98332357337,272900.31353261764,243767.39627032445,144495.09641197388,2031
Manganese,51275.07187706693,75126.82119382017,62377.850904335995,36681.81167030136,2031
Tin,30918.530944930055,38905.48342547256,34755.173810291606,20613.093214596287,2031
Chromium,29074.687965458375,40429.36449567425,33810.62436886655,19321.92944159757,2031
Nickel,13687.390397391362,18954.19743204669,16312.42258359359,9317.854153556074,2031
Molybdenum,8224.384747616234,10690.208150075709,9727.12312714108,5132.867050049243,2031
Neodymium,8002.999197545232,11139.021098103489,8881.151020161922,5498.005409374252,2031
Vanadium,6305.07868970139,8812.825606469309,7099.629445003902,4302.299492622815,2031
Magnesium,2818.8662640324956,3542.869718228511,3164.419493056313,1874.796308220181,2031
Niobium,2604.640344289976,3640.1004618541,2931.499047476901,1777.6789511495474,2031
Silver,1485.1276255016346,1868.407843355907,1670.7408829136305,989.1006120373088,2031
Tellurium,911.3815595076484,1225.645799501645,1105.9956409308438,694.4423325810302,2046
Dysprosium,858.0192184958817,1187.530423368587,933.5780625136672,594.7467483153558,2031
Cadmium,834.4345489308113,1122.165781375474,1012.6175630085556,635.8112784932307,2046
Praseodymium,586.7490902297588,695.3775738882736,580.9990728364186,498.7985348088603,2031
Terbium,426.6918589706636,595.8394289382697,478.9039016197825,291.59897764623446,2031
Indium,191.12972390245935,257.03542146223606,231.94307508551444,145.6344709937905,2046
Boron,137.2947743539136,164.57837923447266,135.85506840502703,115.24314586492775,2031
Yttrium,72.50194342075929,106.8614745175798,96.94284421020576,45.114100889591,2031
