n,scenario_key
1,Adv_CCS
2,Adv_CCS_CO2e_100by2035
3,Adv_CCS_No_TC_Expiration
4,Adv_NG
5,Adv_NG_CO2e_100by2035
6,Adv_NG_No_TC_Expiration
7,Adv_Nuclear
8,Adv_Nuclear_CO2e_100by2035
9,Adv_Nuclear_No_TC_Expiration
10,Adv_RE
11,Adv_RE_CO2e_100by2035
12,Adv_RE_No_TC_Expiration
13,Con_CCS
14,Con_CCS_CO2e_100by2035
15,Con_CCS_No_TC_Expiration
16,Con_NG
17,Con_NG_CO2e_100by2035
18,Con_NG_No_TC_Expiration
19,Con_Nuclear
20,Con_Nuclear_CO2e_100by2035
21,Con_Nuclear_No_TC_Expiration
22,Con_RE
23,Con_RE_CO2e_100by2035
24,Con_RE_No_TC_Expiration
25,DAC
26,DAC_CO2e_100by2035
27,DAC_No_TC_Expiration
28,DC_Tran_CO2e_100by2035
29,DC_Trans
30,DC_Trans_No_TC_Expiration
31,High_Demand_Growth
32,High_Demand_Growth_CO2e_100by2035
33,High_Demand_Growth_No_TC_Expiration
34,High_H2
35,High_H2_CO2e_100by2035
36,High_H2_No_TC_Expiration
37,High_H2_and_Demand
38,High_H2_and_Demand_CO2e_100by2035
39,High_H2_and_Demand_No_TC_Expiration
40,Limited_Trans
41,Limited_Trans_CO2e_100by2035
42,Limited_Trans_No_TC_Expiration
43,Low_Demand_Growth
44,Low_Demand_Growth_CO2e_100by2035
45,Low_Demand_Growth_No_TC_Expiration
46,Mid_Case
47,Mid_Case_100by2035
48,Mid_Case_95by2035
49,Mid_Case_95by2050
50,Mid_Case_CO2e_100by2035
51,Mid_Case_CO2e_95by2035
52,Mid_Case_CO2e_95by2050
53,Mid_Case_NoNascent
54,Mid_Case_No_111D
55,Mid_Case_No_IRA
56,Mid_Case_No_IRA_111D
57,Mid_Case_No_TC_Expiration
58,No_TC_Expiration_CO2e_100by2035
59,Reduced_RE_Resource
60,Reduced_RE_Resource_CO2e_100by2035
61,Reduced_RE_Resource_No_TC_Expiration
