Material,Mid_Case,Mid_Case_CO2e_100by2035,Mid_Case_CO2e_95by2050,Mid_Case_No_IRA,peak_year
Steel,14252300.895209128,24528623.550290793,14318362.751017911,10697012.214022258,2031
Cement,5344396.051634527,8146072.713845793,5379371.069495789,3503249.894381312,2031
Glass,4422869.911388453,7483376.72521068,6285233.727356778,3025567.8052600673,2031
Aluminum,1318746.9321329638,2268201.406608737,1781823.846698239,868351.9016978274,2031
Fiberglass,608541.6003348972,1404042.8166705251,753345.4654798905,408373.9455252294,2031
Lead,472363.9750644224,1055727.8489860406,563842.2473751429,322282.772067783,2031
Copper,428530.06091225747,794750.7568031412,453802.31171964714,263515.4354250387,2031
Zinc,327489.2789956398,851623.6605634409,465050.1403003398,203779.14957571196,2031
Silicon,217011.98332357337,360167.4332934148,303386.3977401957,144495.09641197388,2031
Manganese,51275.07187706693,126565.81971525712,66158.18781875151,36681.81167030136,2031
Tin,30918.530944930055,51357.47524848242,43257.912236354474,20613.093214596287,2031
Chromium,29074.687965458375,66510.32898086663,35798.281962080306,19321.92944159757,2031
Nickel,13687.390397391362,32074.01910980385,17256.774953445856,9317.854153556074,2031
Molybdenum,8224.384747616234,18506.32930260635,10151.517481630024,5132.867050049243,2031
Neodymium,8002.999197545232,17699.34497988523,9432.04444275134,5498.005409374252,2031
Vanadium,6305.07868970139,14119.898619632932,7540.015961931245,4302.299492622815,2031
Magnesium,2818.8662640324956,4674.917854055326,3938.147116210523,1874.796308220181,2031
Niobium,2604.640344289976,5830.61168920481,3113.338489224478,1777.6789511495474,2031
Silver,1485.1276255016346,2466.555743073966,2087.531728676509,989.1006120373088,2031
Tellurium,911.3815595076484,1654.571444106437,1383.6880553912097,694.4423325810302,2046
Dysprosium,858.0192184958817,1865.792839002841,991.4874498154916,594.7467483153558,2031
Cadmium,834.4345489308113,1514.8776736086345,1266.8646916501782,635.8112784932307,2046
Praseodymium,586.7490902297588,722.8272987936732,586.9946645947819,498.7985348088603,2031
Terbium,426.6918589706636,952.888773668668,508.6100747110647,291.59897764623446,2031
Indium,191.12972390245935,346.98725247392156,290.1791387318863,145.6344709937905,2046
Boron,137.2947743539136,177.97627301392993,137.35636685461628,115.24314586492775,2031
Yttrium,72.50194342075929,188.53860084614425,102.9561610788496,45.114100889591,2031
