Material,Peak_t_per_yr,Peak_year,Interval_p2_5,Interval_p97_5,Cumulative_t
Steel,14252300.9,2031,9550778.9,21282343.3,153883932.1
Cement,5344396.1,2031,3887450.4,7274651.0,45889801.5
Glass,4422869.9,2031,1566202.4,10710543.8,69065894.7
Aluminum,1318746.9,2031,501250.9,3075265.7,19909028.2
Fiberglass,608541.6,2031,179262.3,1699146.0,6952267.2
Lead,472364.0,2031,135137.6,1282200.8,5307771.1
Copper,428530.1,2031,181765.1,907301.5,5473563.5
Zinc,327489.3,2031,64608.3,1016204.9,4010840.0
Silicon,217012.0,2031,68757.0,564101.8,3353550.0
Manganese,51275.1,2031,13989.9,144385.9,594435.4
Tin,30918.5,2031,8379.7,86868.7,478024.6
Chromium,29074.7,2031,14102.1,54034.2,335292.0
Nickel,13687.4,2031,4669.9,34128.7,158584.2
Molybdenum,8224.4,2031,2691.1,21435.4,100371.2
Neodymium,8003.0,2031,1570.2,29888.9,89282.5
Vanadium,6305.1,2031,1826.4,16826.4,70833.2
Magnesium,2818.9,2031,783.5,7717.1,43542.2
Niobium,2604.6,2031,732.0,7041.5,29254.7
Silver,1485.1,2031,337.3,4635.4,22958.7
Tellurium,911.4,2046,201.8,2642.0,14832.9
Dysprosium,858.0,2031,151.8,3260.3,9483.0
Cadmium,834.4,2046,160.6,2625.7,13580.5
Praseodymium,586.7,2031,187.3,1421.0,4933.0
Terbium,426.7,2031,49.8,2022.8,4786.1
Indium,191.1,2046,39.7,567.7,3110.7
Boron,137.3,2031,43.8,336.2,1179.1
Yttrium,72.5,2031,15.1,220.2,887.9
