Material,A_peak_over_US_production,B_cumulative_over_US_reserves,C_peak_over_world_production,D_cumulative_over_world_reserves
Aluminum,1.58,3.98,0.0186,0.00275
Boron,0.00016,2.46e-05,2.68e-05,1.09e-06
Cadmium,3.12,n/a,0.0347,n/a
Cement,0.032,n/a,0.00127,n/a
Chromium,0.264,0.532,0.000629,0.000279
Copper,0.463,0.116,0.0188,0.00559
Dysprosium,17.2,0.00499,0.429,0.000105
Indium,n/a,n/a,0.182,1.73
Lead,1.64,1.15,0.109,0.0553
Magnesium,0.0259,0.68,0.00266,0.0207
Manganese,n/a,n/a,0.00259,0.00035
Molybdenum,0.212,0.0287,0.0324,0.00669
Neodymium,1.6,0.047,0.148,0.000992
Nickel,0.889,0.512,0.00366,0.00122
Niobium,n/a,0.139,0.0237,0.00172
Praseodymium,0.391,0.0026,0.0345,5.48e-05
Silicon,0.362,n/a,0.0378,n/a
Silver,0.421,0.998,0.0586,0.0359
Steel,0.178,0.0669,0.00752,0.00175
Tellurium,45.6,3.9,0.947,0.424
Terbium,8.53,0.00252,0.427,5.32e-05
Tin,1.78,n/a,0.0967,0.114
Vanadium,1.25,1.57,0.0589,0.00394
Yttrium,n/a,0.000467,0.00725,9.87e-06
Zinc,1.54,0.436,0.0272,0.0174
